1. open,2. high,3. low,4. close,5. volume
65984.18,69367.19,65073.95,68525.23,18624.08140025
68528.69,68783.99,66000.0,67856.51,15515.02984528
67856.51,69685.0,67469.19,68919.89,3985.44167764
68919.57,70312.0,68846.23,69350.34,5766.41938443
69350.36,72777.0,69037.33,71622.53,16648.20773443
71616.31,71761.37,68200.0,69117.01,15143.52341376
69115.79,71159.6,67463.07,70634.04,16655.987797
70638.4,71305.86,69530.0,70020.73,11001.1381514
70020.71,71265.74,65110.31,67148.61,23509.04415329
67148.62,69100.0,60822.01,64024.77,27548.47240557
64021.36,65890.91,62150.0,65777.05,21604.05147827
65764.56,66928.82,62315.08,63452.18,21668.43122052
63452.18,64400.0,61645.09,63814.94,17710.28213211
63814.94,64524.14,59648.33,61279.36,21811.86704912
61275.73,64210.0,60816.07,63513.85,15246.98539812
63514.84,65498.99,59573.32,63848.37,22838.07934159
63841.96,65463.08,63121.15,64968.87,5157.40726514
64960.82,65725.81,64250.0,64952.92,4487.48723219
64952.92,67272.73,64520.0,66859.17,10977.05178637
66856.07,67225.66,65823.66,66418.0,8840.16749844
66418.0,67077.97,63542.56,64255.78,15083.5524347
64255.77,65287.69,62747.18,64484.44,13256.29877715
64484.44,64810.0,63287.76,63742.39,10151.96247701
63742.39,63900.0,62389.0,63422.0,5312.16741262
63422.34,64333.33,62743.81,63108.94,4415.96831554
63109.76,64200.0,61741.01,63844.85,10712.13554316
63845.01,64727.81,59040.3,60622.1,21106.65540758
60621.2,60785.49,56500.0,58265.59,26611.9312734
58267.81,59641.03,56903.79,59071.89,13593.00905888
59070.3,63365.72,58821.05,62913.03,15954.29032707
62913.03,64546.0,62565.82,63902.88,6414.57464352
63902.88,64636.75,62908.34,64023.45,4474.5195919
64023.45,65523.44,62704.48,63162.24,11241.77217344
63161.35,64415.06,62252.64,62315.76,8994.04348314
62315.75,63013.05,60851.04,61169.53,7486.42596849
61169.53,63424.14,60601.6,63073.57,8349.58519227
63073.55,63470.0,60150.0,60787.47,11511.12990976
60787.99,61482.0,60450.13,60814.63,2338.06810837
60814.64,61843.45,60576.05,61453.02,2694.97577935
61453.01,63456.18,60738.51,62932.37,9170.75414759
62927.44,63103.02,61024.51,61539.84,13456.61305289
61539.7,66480.0,61299.57,66244.69,21821.38858725
66244.68,66772.83,64588.5,65252.18,12012.70197182
65252.17,67500.0,65113.46,67046.33,11710.00723895
67046.34,67407.79,66624.06,66923.87,3880.58113972
66923.87,67701.91,65852.02,66261.62,3565.11346165
66260.04,71560.9,66057.03,71432.17,20415.88691709
71432.16,71980.0,69146.01,70142.84,16102.06132545
70142.88,70659.99,68887.52,69109.93,10889.10300904
69109.93,69481.0,69109.93,69395.49,216.08034901
